Area Code,Area Name,Happiness Score,Latitude,Longitude
E12000001,NORTH EAST,7.34,55.0,-1.9
E12000002,NORTH WEST ,7.39,54.0,-2.6
E12000003,YORKSHIRE AND THE HUMBER,7.41,53.6,-1.2
E12000004,EAST MIDLANDS,7.51,53.0,-0.8
E12000005,WEST MIDLANDS,7.43,52.5,-2.3
E12000006,EAST,7.51,52.2,0.4
E12000007,LONDON,7.38,51.5,-0.1
E12000008,SOUTH EAST,7.54,51.3,-0.5
E12000009,SOUTH WEST,7.5,51.0,-3.2
W92000004,WALES,7.44,51.5,-3.2
S92000003,SCOTLAND,7.45,56.0,-3.2
N92000002,NORTHERN IRELAND5,7.75,54.6,-5.9
